Fecha     Comportamiendo de la accion     Punto medio HIGH - LOW
27/10/2021     BAJA     3.5
28/10/2021     SUBE     4.5
29/10/2021     SUBE     5.5
01/11/2021     ESTABLE     2.5
02/11/2021     SUBE     4.0
03/11/2021     SUBE     7.0
04/11/2021     SUBE     8.0
05/11/2021     SUBE     3.5
08/11/2021     SUBE     4.5
09/11/2021     SUBE     5.5
10/11/2021     BAJA     12.0
11/11/2021     BAJA     5.0
12/11/2021     BAJA     6.5
15/11/2021     BAJA     8.0
16/11/2021     SUBE     4.0
17/11/2021     ESTABLE     4.5
18/11/2021     BAJA     6.5
19/11/2021     BAJA     9.5
22/11/2021     BAJA     17.5
23/11/2021     BAJA     9.0
24/11/2021     SUBE     7.5
26/11/2021     BAJA     9.0
29/11/2021     SUBE     10.5
30/11/2021     BAJA     9.5
01/12/2021     BAJA     6.5
02/12/2021     SUBE     7.0
03/12/2021     BAJA     13.5
06/12/2021     SUBE     7.5
07/12/2021     SUBE     3.5
08/12/2021     SUBE     8.5
09/12/2021     BAJA     5.5
10/12/2021     BAJA     5.5
13/12/2021     ESTABLE     6.0
14/12/2021     BAJA     6.5
15/12/2021     SUBE     6.5
16/12/2021     BAJA     7.5
17/12/2021     SUBE     7.5
20/12/2021     SUBE     5.5
21/12/2021     SUBE     9.0
22/12/2021     SUBE     5.5
23/12/2021     SUBE     5.5
27/12/2021     SUBE     9.0
28/12/2021     SUBE     3.5
29/12/2021     SUBE     4.0
30/12/2021     BAJA     4.5
31/12/2021     SUBE     4.0
03/01/2022     BAJA     11.0
04/01/2022     BAJA     14.0
05/01/2022     BAJA     9.0
06/01/2022     SUBE     6.5
07/01/2022     BAJA     8.5
10/01/2022     SUBE     7.0
11/01/2022     SUBE     9.5
12/01/2022     SUBE     5.5
13/01/2022     BAJA     12.0
14/01/2022     SUBE     8.0
18/01/2022     BAJA     5.0
19/01/2022     BAJA     5.0
20/01/2022     BAJA     5.0
21/01/2022     BAJA     5.5
24/01/2022     SUBE     12.5
25/01/2022     BAJA     6.0
26/01/2022     BAJA     8.5
27/01/2022     BAJA     7.5
28/01/2022     ESTABLE     7.0
31/01/2022     SUBE     11.0
01/02/2022     SUBE     4.0
02/02/2022     BAJA     6.0
03/02/2022     SUBE     4.5
04/02/2022     SUBE     7.5
07/02/2022     BAJA     5.5
08/02/2022     SUBE     7.5
09/02/2022     SUBE     4.0
10/02/2022     SUBE     6.5
11/02/2022     BAJA     10.0
14/02/2022     SUBE     7.0
15/02/2022     SUBE     5.5
16/02/2022     SUBE     7.0
17/02/2022     BAJA     8.0
18/02/2022     BAJA     8.0
22/02/2022     BAJA     7.0
23/02/2022     BAJA     7.0
24/02/2022     SUBE     18.5
25/02/2022     SUBE     5.5
28/02/2022     SUBE     5.0
01/03/2022     BAJA     12.0
02/03/2022     BAJA     4.0
03/03/2022     BAJA     13.5
04/03/2022     BAJA     9.5
07/03/2022     BAJA     7.5
08/03/2022     SUBE     7.5
09/03/2022     BAJA     3.0
10/03/2022     BAJA     3.5
11/03/2022     BAJA     3.0
14/03/2022     BAJA     4.0
15/03/2022     SUBE     7.5
16/03/2022     SUBE     11.5
17/03/2022     SUBE     5.0
18/03/2022     SUBE     7.5
21/03/2022     BAJA     5.0
22/03/2022     SUBE     7.0
23/03/2022     BAJA     8.0
24/03/2022     BAJA     4.5
25/03/2022     BAJA     6.5
28/03/2022     ESTABLE     6.5
29/03/2022     SUBE     4.0
30/03/2022     BAJA     18.5
31/03/2022     SUBE     9.0
01/04/2022     BAJA     6.5
04/04/2022     SUBE     5.5
05/04/2022     BAJA     3.5
06/04/2022     BAJA     6.0
07/04/2022     BAJA     5.5
08/04/2022     BAJA     4.5
11/04/2022     ESTABLE     3.5
12/04/2022     ESTABLE     5.0
13/04/2022     SUBE     3.0
14/04/2022     BAJA     6.5
18/04/2022     BAJA     4.5
19/04/2022     SUBE     5.5
20/04/2022     BAJA     4.5
21/04/2022     BAJA     10.0
